ts,open,high,low,close
1724904318,150.015875,149.713808,148.709919,149.211864
1724990718,149.690605,148.434659,147.269962,147.852310
1725077118,147.636783,150.446167,149.312303,149.879235
1725163518,150.198037,150.850901,150.530893,150.690897
1725249918,150.340932,150.695236,150.234010,150.464623
1725336318,150.864329,152.454383,150.416479,151.435431
1725422718,151.065681,151.876580,149.704147,150.790363
1725509118,150.430087,150.890396,148.542811,149.716604
1725595518,149.698867,151.031736,149.898831,150.465284
1725681918,150.230641,151.646465,149.798029,150.722247
1725768318,150.583599,151.223057,149.328505,150.275781
1725854718,150.295633,154.172786,150.972959,152.572873
1725941118,152.252976,153.367775,152.258758,152.813267
1726027518,153.142828,154.515802,152.962638,153.739220
1726113918,153.721218,153.386066,152.494387,152.940227
1726200318,153.089765,153.019229,152.583604,152.801417
1726286718,152.207627,152.451378,151.059764,151.755571
1726373118,151.584653,151.385240,148.665490,150.025365
1726459518,149.806165,148.961443,147.806685,148.384064
1726545918,148.665494,150.385510,148.776612,149.581061
1726632318,149.338370,150.071899,149.829059,149.950479
1726718718,150.361849,151.275313,150.163235,150.719274
1726805118,150.782770,151.802863,150.256607,151.029735
1726891518,150.831136,153.224505,151.745893,152.485199
1726977918,152.550832,152.111915,151.823118,151.967517
1727064318,151.590183,150.673925,150.131994,150.402959
1727150718,150.315469,148.342404,148.047375,148.194890
1727237118,148.002135,149.823015,148.485013,149.154014
1727323518,149.097108,151.158796,149.422745,150.290771
1727409918,150.851024,151.139708,149.639018,150.389363
1727496318,150.095605,150.018419,148.869607,149.444013
1727582718,150.159975,152.343167,150.923983,151.633575
1727669118,151.959337,150.999214,150.172150,150.585682
1727755518,150.365565,151.507141,151.229411,151.368276
1727841918,151.617727,153.762038,153.055526,153.408782
1727928318,153.103614,154.592395,153.324218,153.958306
1728014718,154.256245,155.306383,153.323174,154.314779
1728101118,154.252875,157.287734,156.445371,156.866552
1728187518,156.669838,155.923352,154.371089,155.147221
1728273918,155.615885,154.840687,152.925183,153.882935
1728360318,153.953913,156.439642,152.876052,154.657847
1728446718,154.961053,155.711555,154.761363,155.236459
1728533118,154.810970,155.932811,154.437760,155.185286
1728619518,154.651552,155.752480,154.106080,154.929280
1728705918,155.143157,155.537784,154.843678,155.190731
1728792318,155.076251,157.363401,156.073472,156.718437
1728878718,156.513151,157.490721,156.779760,157.135240
1728965118,156.908672,156.113630,155.410745,155.762188
1729051518,155.705068,157.296976,156.148688,156.722832
1729137918,156.567723,157.370268,156.356158,156.863213
1729224318,157.326894,158.714586,155.998517,157.356551
1729310718,157.710257,157.786645,155.533724,156.660184
1729397118,156.590115,158.797018,157.140102,157.968560
1729483518,157.809127,158.639729,158.494112,158.566920
1729569918,158.568763,160.159030,158.640709,159.399870
1729656318,159.319683,160.005844,159.722989,159.864417
1729742718,159.824582,158.050736,156.945412,157.498074
1729829118,157.302842,156.553972,155.859703,156.206838
1729915518,156.361758,155.061203,154.492549,154.776876
1730001918,154.680541,155.906350,154.747470,155.326910
1730088318,155.294348,157.204888,152.688164,154.946526
1730174718,154.239194,155.678308,151.236622,153.457465
1730261118,153.084057,153.449043,152.605594,153.027319
1730347518,152.385950,150.763196,150.449288,150.606242
1730433918,150.570311,151.141155,150.453521,150.797338
1730520318,150.316028,154.088978,152.927241,153.508109
1730606718,153.495063,154.261420,152.049060,153.155240
1730693118,153.060428,153.448557,150.744589,152.096573
1730779518,152.059238,155.013260,148.956172,151.984716
1730865918,152.327319,151.399537,150.307868,150.853702
1730952318,150.953789,153.290217,150.140602,151.715409
1731038718,151.846088,151.521733,151.291018,151.406375
1731125118,151.931322,152.435115,151.398630,151.916873
1731211518,152.228685,152.727680,151.697355,152.212518
1731297918,152.012986,152.929287,151.407570,152.168428
1731384318,152.465604,153.790499,150.584149,152.187324
1731470718,152.434009,153.795708,150.389482,152.092595
1731557118,152.139591,154.070787,152.063716,153.067252
1731643518,153.233087,151.669156,151.063744,151.366450
1731729918,151.065068,152.249195,150.821983,151.535589
1731816318,151.669957,150.989192,149.389908,150.189550
1731902718,149.998487,149.247640,146.619741,147.933690
1731989118,147.943354,146.909257,146.881566,146.895411
1732075518,146.410301,149.382323,148.846784,149.114553
1732161918,148.763966,148.842267,148.805462,148.823864
1732248318,148.774786,150.354231,150.060475,150.207353
1732334718,150.422962,152.198289,148.643188,150.420738
1732421118,150.404425,151.443767,150.678368,151.061067
1732507518,151.268612,150.500478,149.612294,150.056386
1732593918,149.766584,151.693446,149.569241,150.631344
1732680318,150.097133,151.904120,150.867052,151.385586
1732766718,151.749513,151.209415,151.096114,151.152764
1732853118,151.423048,150.967081,149.972877,150.469979
1732939518,150.907477,151.842238,151.178417,151.510328
1733025918,151.885456,153.615021,152.483063,153.049042
1733112318,152.868377,153.496321,151.070555,152.283438
1733198718,152.418934,153.437052,150.136927,151.786989
1733285118,151.873520,153.427312,149.632504,151.529908
1733371518,151.102946,151.146125,149.087409,150.116767
1733457918,150.120685,150.922681,150.246606,150.584644
1733544318,150.500317,152.077364,150.912425,151.494894
1733630718,151.473866,152.440745,151.356176,151.898460
1733717118,152.273204,152.536188,152.233848,152.385018
1733803518,152.073806,153.762320,152.087841,152.925081
